Brand,Name,Boarding_time,Km,Discharge,New_price,Sec_price
丰田,RAV4荣放 2011款 2.0L 自动经典版,2013年11月,11.16万公里,国4,21.47万,11.5
福特,蒙迪欧 2011款 致胜 2.0L GTDi240 豪华运动型导航版 国4,2011年8月,6.00万公里,国4,26.25万,8.8
福特,福克斯 2012款 三厢 2.0L 自动 旗舰型,2012年7月,6.50万公里,国4,18.44万,6.6
福特,蒙迪欧 2011款 致胜 2.0L GTDi240 豪华运动型 国4,2011年3月,8.47万公里,国4,25.81万,9.8
福特,蒙迪欧 2011款 致胜 2.0L GTDi200 豪华型 国4,2011年11月,5.91万公里,国4,23.64万,8.58
福特,蒙迪欧 2005款 2.0L自动挡精英版,2005年12月,9.50万公里,国2,21.69万,2.3
福特,蒙迪欧 2011款 致胜 2.0L GTDi200 豪华型 国4,2011年5月,6.00万公里,国4,23.64万,8.68
福特,蒙迪欧 2011款 致胜 2.0L GTDi200 豪华型 国4,2011年7月,4.20万公里,国4,23.64万,8.35
福特,蒙迪欧 2011款 致胜 2.0L GTDi200 豪华型 国4,2012年3月,4.60万公里,国4,23.64万,9
福特,蒙迪欧 2011款 致胜 2.0L GTDi200 豪华型 国4,2012年5月,4.50万公里,国4,23.64万,8.98
福特,蒙迪欧 2011款 致胜 2.0L GTDi240 至尊型 国4,2012年6月,4.50万公里,国4,27.44万,9.2
福特,蒙迪欧 2011款 致胜 2.0L GTDi200 时尚型 国4,2012年10月,4.70万公里,国4,21.69万,8.18
福特,蒙迪欧 2011款 致胜 2.0L GTDi240 豪华运动型 国4,2011年7月,6.00万公里,国4,25.81万,8.3
福特,蒙迪欧 2012款 致胜 2.0L 自动 旗舰运动型 国4,2012年7月,6.10万公里,国4,27.87万,9.98
福特,蒙迪欧 2005款 2.0L自动挡精英版,2005年4月,15.00万公里,国2,21.69万,2.5
福特,蒙迪欧 2011款 致胜 2.0L GTDi200 豪华型 国4,2012年11月,5.80万公里,国4,23.64万,9.58
福特,蒙迪欧 2012款 致胜 2.0L 自动 旗舰运动型 国4,2013年9月,5.00万公里,国4,27.87万,10.8
福特,福克斯 2012款 两厢 2.0L 手动 豪华运动型,2012年6月,6.41万公里,国4,16.49万,7.5
福特,福克斯 2012款 两厢 2.0L 手动 豪华运动型,2012年6月,6.41万公里,国4,16.49万,7.5
福特,福克斯 2012款 两厢 2.0L 自动 豪华运动型,2014年7月,5.20万公里,国4,17.68万,9.5
福特,蒙迪欧 2012款 致胜 2.0L 自动 旗舰运动型 国4,2012年3月,10.40万公里,国4,27.87万,9.58
福特,福克斯 2012款 两厢 2.0L 自动 豪华运动型,2015年2月,3.00万公里,国4,17.68万,10.88
福特,福克斯 2012款 两厢 2.0L 自动 豪华运动型,2012年9月,6.00万公里,国4,17.68万,7.8
福特,福克斯 2012款 两厢 2.0L 自动 豪华运动型,2012年12月,6.80万公里,国4,17.68万,7.88
福特,福克斯 2012款 两厢 2.0L 手动 豪华运动型,2012年12月,6.90万公里,国4,16.49万,7.89
福特,蒙迪欧 2012款 致胜 2.0L 自动 旗舰运动型 国4,2012年7月,4.20万公里,国4,27.87万,12
福特,蒙迪欧 2005款 2.0L自动挡精英版,2005年11月,11.00万公里,国2,21.69万,2.15
福特,蒙迪欧 2011款 致胜 2.0L GTDi200 时尚型 国4,2011年6月,6.77万公里,国4,21.69万,8.8
福特,蒙迪欧 2011款 致胜 2.0L GTDi200 时尚型 国4,2011年6月,6.77万公里,国4,21.69万,8.8
福特,蒙迪欧 2011款 致胜 2.0L GTDi240 豪华运动型 国4,2011年3月,8.47万公里,国4,25.81万,9.8
福特,蒙迪欧 2011款 致胜 2.0L GTDi240 至尊型 国4,2013年5月,6.30万公里,国4,27.44万,10.3
福田,蒙派克E 2014款 2.0L 手动 财富快车经典版 汽油 长轴,2014年6月,8.00万公里,国4,9.42万,4.99
福田,风景 2011款 2.0L 经典型 汽油4G63S4M 短轴低顶,2011年6月,9.40万公里,国4,暂无,3.1
福田,蒙派克E 2012款 财富快车 2.0L 手动 舒适版 汽油 长轴,2012年2月,6.90万公里,国4,暂无,3.9
福田,风景 2014款 2.0L 手动 经典型 汽油 长轴,2014年8月,5.20万公里,国4,6.82万,4.58
